lon,lat,ibge
-4.032874,-38.992963,-1.0
-4.008297,-38.971759,-1.0
-3.827339,-38.624562,-1.0
-3.827743,-38.624141,-1.0
-3.843695,-38.585598,-1.0
-3.811949,-38.574766,-1.0
-3.843314,-38.584887,-1.0
-3.897606,-38.672556,-1.0
-3.909698,-38.682678,-1.0
-3.897812,-38.672139,-1.0
-3.909972,-38.682599,-1.0
-3.736497,-38.569215,-1.0
-3.738669,-38.5853,-1.0
-3.778821,-38.514606,-1.0
-3.738844,-38.5853,-1.0
-7.30918,-39.307208,-1.0
-7.226272,-39.326308,-1.0
-7.225674,-39.327852,-1.0
-7.228559,-39.38678,-1.0
-7.227007,-39.388444,-1.0
-7.236819,-39.407288,-1.0
-7.335282,-39.394031,-1.0
-3.714637,-40.987853,-1.0
-3.733179,-41.002182,-1.0
-3.7543,-40.583416,-1.0
-3.755977,-40.555565,-1.0
-3.759041,-40.804433,-1.0
-3.659854,-40.918669,-1.0
-3.714299,-40.987393,-1.0
-3.743793,-38.620445,-1.0
-3.743217,-38.620144,-1.0
-3.743377,-38.619383,-1.0
-3.744129,-38.619414,-1.0
-3.744322,-38.61978,-1.0
-3.738859,-38.585429,-1.0
-3.738694,-38.585473,-1.0
-3.830909,-38.504765,-1.0
-3.831146,-38.504701,-1.0
-3.831197,-38.504952,-1.0
-3.830982,-38.505003,-1.0
-3.812453,-38.479427,-1.0
-3.812591,-38.479253,-1.0
-3.812647,-38.479615,-1.0
-3.812821,-38.479425,-1.0
-3.808205,-38.479025,-1.0
-3.808163,-38.478822,-1.0
-3.808459,-38.47896,-1.0
-3.808431,-38.47879,-1.0
-3.808375,-38.478749,-1.0
-3.808266,-38.47874,-1.0
-3.81153,-38.424238,-1.0
-3.811402,-38.424187,-1.0
-3.811513,-38.423864,-1.0
-3.811716,-38.424031,-1.0
-3.759343,-38.483307,-1.0
-3.759281,-38.483214,-1.0
-3.759537,-38.483373,-1.0
-3.7597,-38.48296,-1.0
-3.759715,-38.483272,-1.0
-3.759317,-38.482971,-1.0
-3.778881,-38.514851,-1.0
-3.779428,-38.515034,-1.0
-3.779535,-38.51497,-1.0
-3.779695,-38.514685,-1.0
-3.77963,-38.514393,-1.0
-4.085185,-38.499018,-1.0
-4.085052,-38.499234,-1.0
-4.084974,-38.498387,-1.0
-4.084175,-38.49857,-1.0
-4.084105,-38.498799,-1.0
-4.113734,-38.49046,-1.0
-4.112932,-38.490854,-1.0
-4.113393,-38.489789,-1.0
-4.112619,-38.490144,-1.0
-4.112591,-38.490355,-1.0
-4.147324,-38.47786,-1.0
-4.14817,-38.477416,-1.0
-4.147606,-38.4771,-1.0
-4.200394,-38.469804,-1.0
-5.165473,-40.657335,-1.0
-5.164938,-40.657781,-1.0
-5.164648,-40.656866,-1.0
-7.226217,-39.327868,-1.0
-7.226734,-39.326763,-1.0
-7.225142,-39.327021,-1.0
-7.228613,-39.386911,-1.0
-7.226935,-39.388176,-1.0
-3.843224,-38.5853,-1.0
-3.843939,-38.585475,-1.0
-3.844058,-38.585111,-1.0
-3.84391,-38.584845,-1.0
-3.876111,-38.595565,-1.0
-3.875908,-38.595343,-1.0
-3.87634,-38.595526,-1.0
