cnae,scna
6492,6480
6493,6480
6499,6480
6511,6480
6512,6480
6520,6480
6530,6480
6541,6480
6542,6480
6550,6480
6611,6480
6612,6480
6613,6480
6619,6480
6621,6480
6622,6480
6629,6480
6630,6480
6810,6800
6821,6800
6822,6800
6911,6980
6912,6980
6920,6980
7010,6980
7020,6980
7111,7180
7112,7180
7119,7180
7120,7180
7210,7180
7220,7180
7311,7380
7312,7380
7319,7380
7320,7380
7410,7380
7420,7380
7490,7380
7500,7380
7711,7700
7719,7700
7721,7700
7722,7700
7723,7700
7729,7700
7731,7700
7732,7700
7733,7700
7739,7700
7740,7700
7810,7880
7820,7880
7830,7880
7911,7880
7912,7880
7990,7880
8111,7880
8112,7880
8121,7880
8122,7880
8129,7880
8130,7880
8211,7880
8219,7880
8220,7880
8230,7880
8291,7880
8292,7880
8299,7880
8011,8000
8012,8000
8020,8000
8030,8000
8411,8400
8412,8400
8413,8400
8421,8400
8422,8400
8423,8400
8424,8400
8425,8400
8430,8400
8511,8591
8512,8591
8513,8591
8520,8591
8531,8591
8532,8591
8533,8591
8541,8591
8542,8591
8550,8591
8591,8591
8592,8591
8593,8591
8599,8591
8511,8592
8512,8592
8513,8592
8520,8592
8531,8592
8532,8592
8533,8592
8541,8592
8542,8592
8550,8592
8591,8592
8592,8592
8593,8592
8599,8592
8610,8691
8621,8691
8622,8691
8630,8691
8640,8691
8650,8691
8660,8691
8690,8691
8711,8691
8712,8691
8720,8691
8730,8691
8610,8692
8621,8692
8622,8692
8630,8692
8640,8692
8650,8692
8660,8692
8690,8692
8711,8692
8712,8692
8720,8692
8730,8692
8800,8692
9001,9080
9002,9080
9003,9080
9101,9080
9102,9080
9103,9080
9200,9080
9311,9080
9312,9080
9313,9080
9319,9080
9321,9080
9329,9080
9411,9480
9412,9480
9420,9480
9430,9480
9491,9480
9492,9480
9493,9480
9499,9480
9511,9480
9512,9480
9521,9480
9529,9480
9601,9480
9602,9480
9603,9480
9609,9480
9700,9700
