ncm, scnp
03049400,10914
03049500,10914
03049900,10914
03051000,10914
03052000,10914
03053010,10914
03053020,10914
03053090,10914
03053100,10914
03053210,10914
03053220,10914
03053290,10914
03053910,10914
03053990,10914
03054100,10914
03054200,10914
03054300,10914
03054400,10914
03054910,10914
03054920,10914
03054990,10914
03055100,10914
03055910,10914
03055920,10914
03055990,10914
03056100,10914
03056200,10914
03056300,10914
03056400,10914
03056910,10914
03056990,10914
03057100,10914
03057200,10914
03057900,10914
03061110,10914
03061190,10914
03061200,10914
03061310,10914
03061391,10914
03061399,10914
03061400,10914
03061500,10914
03061610,10914
03061690,10914
03061710,10914
03061790,10914
03061900,10914
03061910,10914
03061990,10914
03062100,02802
03062200,02802
03062300,02802
03062400,02802
03062500,02802
03062600,02802
03062700,02802
03062910,02802
03062990,02802
03071000,10914
03071100,10914
03071900,10914
03072100,02802
03072900,10914
03073100,02802
03073900,10914
03074100,02802
03074911,10914
03074919,10914
03074920,10914
03074990,10914
03075100,02802
03075910,10914
03075920,10914
03075990,10914
03076000,01921
03077100,02802
03077900,10914
03078100,02802
03078900,10914
03079100,02802
03079900,10914
03081100,02802
03081900,10914
03082100,02802
03082900,10914
03083000,02802
03089000,02802
04011010,10915
04011090,10915
04012010,10915
04012090,10915
04013010,10915
04013021,10916
04013029,10916
04014010,10915
04014021,10916
04014029,10916
04015010,10915
04015021,10916
04015029,10916
04021010,10916
04021090,10916
04022110,10916
04022120,10916
04022130,10916
04022910,10916
04022920,10916
04022930,10916
04029100,10916
04029900,10916
04031000,10916
04039000,10916
04041000,10916
04049000,10916
04051000,10916
04052000,10916
04059010,10916
04059090,10916
04061010,10916
04061090,10916
04062000,10916
04063000,10916
04064000,10916
04069010,10916
04069020,10916
04069030,10916
04069090,10916
04070011,01924
04070019,01924
04070090,01924
04071100,01924
04071900,01924
04072100,01924
04072900,01924
04079000,01924
04081100,10937
04081900,10937
04089100,10937
04089900,10937
04090000,01921
04100000,01921
05010000,31802
05021011,10911
05021019,10911
05021090,10911
05029010,10911
05029020,10911
05040011,10911
05040012,10911
05040013,10911
05040019,10911
05040090,10911
05051000,10911
05059000,10911
05061000,10911
05069000,10911
05071000,01921
05079000,01921
05080000,02802
05100010,10911
05100090,10911
05111000,01921
05119110,10914
05119190,10914
05119910,01921
05119920,01921
05119930,01921
05119991,01921
05119999,10911
06011000,01916
06012000,01916
06021000,01916
06022000,01919
06023000,01916
06024000,01916
06029010,01916
06029021,01916
06029029,01916
06029081,01914
06029082,01919
06029083,01918
06029089,02801
06029090,02801
06031000,01916
06031100,01916
06031200,01916
06031300,01916
06031400,01916
06031500,01916
06031900,01916
06039000,01916
06041000,01916
06042000,01916
06049000,01916
06049100,01916
06049900,01916
07011000,01916
07019000,01916
07020000,01916
07031011,01916
07031019,01916
07031021,01916
07031029,02802
07032010,01916
07032090,01916
07039010,01916
07039090,01916
07041000,01916
07042000,01916
07049000,01916
07051100,01916
07051900,01916
07052100,01916
07052900,01916
07061000,01916
07069000,01916
07070000,01916
07081000,01916
07082000,01916
07089000,01916
07092000,01916
07093000,01916
07094000,01916
07095100,01916
07095900,01916
07096000,01916
07097000,01916
07099011,01916
07099019,01916
07099020,01916
07099090,01916
07099100,01916
07099200,01919
07099300,01916
07099911,01916
07099919,01916
07099990,01916
07101000,10931
07102100,10931
07102200,10931
07102900,10931
07103000,10931
07104000,10931
07108000,10931
07109000,10931
07112010,10931
07112020,10931
07112090,10931
07114000,10931
07115100,10931
07115900,10931
07119000,10931
07122000,10931
07123100,10931
07123200,10931
07123300,10931
07123900,10931
07129010,10931
07129090,10931
07131010,01916
07131090,01916
07132010,01916
07132090,01916
07133110,01916
07133190,01916
07133210,01916
07133290,01916
07133311,01916
07133319,01916
07133321,01916
07133329,01916
07133391,01916
07133399,01916
07133410,01916
07133490,01916
07133510,01916
07133590,01916
07133910,01916
07133990,01916
07134010,01916
07134090,01916
07135010,01916
07135090,01916
07136010,01916
07136090,01916
07139010,01916
07139090,01916
07141000,01916
07142000,01916
07143000,01916
07144000,01916
07145000,01916
07149000,01916
08011100,01919
08011110,10931
08011190,02801
08011200,01919
08011900,01919
08012100,02801
08012200,10931
08013100,01919
08013200,10931
