orig,dest,km,jur
358,356,0.023152,1
359,358,0.033348,1
357,360,0.031358,1
360,164,0.026409,1
164,359,0.024051,1
361,362,0.035157,0
363,361,0.066796,0
364,363,0.063802,0
365,364,0.076889,0
362,365,0.025406,0
366,367,0.037682,0
367,368,0.032385,0
368,369,0.015546,0
369,366,0.007141,0
370,371,0.759273,0
371,372,0.676694,0
373,374,0.26619,0
375,376,8.50253,0
376,377,0.438729,0
372,377,6.459996,0
377,378,3.678485,0
378,379,13.097304,0
378,380,8.316577,0
380,381,0.196564,0
382,383,17.951994,0
384,385,13.942083,0
384,386,15.290436,0
387,388,16.180805,0
385,389,17.595971,0
389,390,0.54843,0
391,392,0.29979,0
392,393,19.409351,0
209,108,13.43809,0
224,394,2.166342,1
395,396,0.034428,0
397,395,0.025057,1
398,397,0.090557,1
394,398,0.02927,1
399,394,0.020056,0
396,399,0.037262,0
398,227,2.173152,1
400,401,4.056698,1
81,402,2.414859,1
390,403,3.340507,0
404,405,0.225875,0
406,407,0.00982,1
408,406,0.055116,1
409,410,0.017183,1
407,409,0.072475,1
20,411,0.025545,0
412,413,0.012735,0
411,412,0.05117,0
413,20,0.077226,0
412,408,4.643564,0
410,408,0.014315,1
210,216,0.099486,1
414,211,0.048385,1
211,415,0.024412,1
415,416,0.047987,1
416,414,0.021444,1
417,418,1.176121,0
418,10,0.151162,0
10,419,9.960069,0
420,421,0.03707,0
422,420,0.04071,0
417,422,0.049629,0
423,417,0.054302,0
421,423,0.063213,0
424,425,3.18486,1
425,426,3.297561,1
427,71,2.83778,0
428,34,14.111753,0
428,429,2.558541,0
291,287,0.036548,0
430,237,3.290372,0
236,431,3.295323,0
432,354,0.048358,0
433,434,50.746591,0
48,435,21.692841,0
436,197,7.992537,0
242,437,0.942038,0
244,438,0.950243,0
246,244,0.023401,0
439,440,1.14159,0
441,440,0.052616,0
442,441,0.017038,0
438,442,0.009249,0
437,438,0.019814,0
439,437,0.03507,0
443,439,0.01772,0
441,442,0.491887,0
444,445,0.659353,0
446,445,0.977314,0
246,446,0.27931,0
447,448,0.427497,0
447,245,0.365307,0
445,449,0.607089,0
450,451,4.53912,0
452,453,9.422054,0
453,454,4.462108,0
453,455,4.223043,0
353,432,0.024109,0
374,456,0.027288,0
450,374,0.043212,0
457,450,0.021784,0
456,457,0.010975,0
94,458,1.945208,0
93,459,1.056395,1
460,386,2.888742,0
170,461,5.581657,1
169,462,15.633274,0
177,316,26.227727,0
463,464,0.071006,0
464,465,0.038404,0
465,466,0.051348,0
466,463,0.061026,0
467,209,11.065771,0
468,469,0.456965,0
470,53,0.024373,0
53,471,0.043835,0
471,472,0.020972,0
472,470,0.082637,0
473,54,0.82391,0
203,474,0.029099,0
474,106,0.087564,0
106,467,0.015523,0
467,475,0.106888,0
475,203,0.017892,0
476,471,30.352534,0
210,216,0.099612,1
477,478,47.924398,0
249,479,8.885837,0
250,479,4.448271,0
480,396,1.282146,0
399,230,2.594674,0
481,482,3.262436,0
482,483,1.91966,0
483,484,0.450421,0
484,296,0.834395,0
485,159,4.13376,0
161,297,2.391491,0
486,487,0.993596,0
240,488,1.790318,0
489,490,0.665535,0
490,491,3.88087,0
492,493,3.970913,0
494,495,1.179756,0
9,496,4.301982,0
336,497,0.611339,0
498,87,34.752815,1
88,499,30.294485,1
499,500,17.629029,1
500,89,0.074582,1
91,501,72.890102,1
502,503,1.199652,1
503,504,29.698616,1
504,505,2.332292,1
505,506,2.974188,1
506,507,2.769896,1
508,509,1.133006,1
509,506,1.643292,1
510,511,3.150838,0
511,512,12.659236,0
512,157,0.265473,0
513,514,7.775367,0
514,515,5.609932,0
90,516,58.234648,1
267,109,2.34317,1
110,517,4.619438,1
517,518,38.888171,1
518,516,34.173399,1
519,520,20.5704,1
519,268,33.149757,1
521,522,18.094142,1
522,523,0.289017,1
523,501,35.242396,1
501,524,37.106295,1
524,109,46.041599,1
112,525,26.99575,1
526,88,2.530857,0
527,366,0.453872,0
369,508,0.353401,0
507,368,0.356427,0
528,529,12.345375,0
530,515,34.063941,0
531,532,0.74201,1
532,91,87.187705,1
533,75,33.492559,0
533,533,0.475949,0
514,534,26.77806,0
367,529,19.471423,0
535,85,31.528473,0
303,536,0.999482,0
112,537,28.231808,0
74,538,8.812871,0
505,539,16.163355,0
517,540,0.972341,0
61,541,17.28495,1
541,542,9.512684,1
542,543,13.463034,1
543,188,10.112812,1
189,167,35.4367,1
544,545,31.727377,0
546,547,2.591727,0
547,40,5.152254,0
40,34,8.605173,0
429,548,7.619601,0
548,549,5.404891,0
549,550,6.085595,0
550,551,13.985328,0
551,552,6.401498,0
552,553,17.668174,0
553,133,12.882462,0
134,554,18.03323,0
555,556,0.082933,0
556,557,2.052548,0
558,559,0.999498,0
559,560,21.736415,0
560,561,0.118051,0
561,562,0.082718,0
562,563,0.049311,0
563,564,0.117068,0
564,565,34.551588,0
565,566,0.086061,0
566,567,12.825514,0
567,568,4.908647,0
251,397,3.865342,1
226,357,4.726684,1
461,358,6.142443,1
171,569,8.303786,1
569,257,2.720011,1
256,172,2.745423,1
254,259,3.7476,1
262,253,3.712675,1
258,263,4.022783,1
265,260,4.081115,1
177,264,3.903479,1
255,570,1.403633,0
570,261,1.872963,0
138,571,15.963837,0
572,26,15.100977,0
26,25,0.839252,0
573,36,11.330936,0
36,547,6.530199,0
574,575,34.130504,0
429,576,26.073605,1
576,577,11.065325,1
578,577,3.890679,1
578,579,29.027677,1
579,580,18.808197,1
580,135,10.778871,1
581,549,7.874021,0
548,582,1.420853,0
582,583,16.115111,0
583,584,8.582817,1
584,585,0.352425,1
585,586,12.752241,0
586,587,36.976632,0
587,588,10.009242,0
588,411,13.385159,0
413,589,0.277619,0
589,410,4.376596,0
576,585,7.492118,1
138,590,29.571354,1
590,21,1.572828,1
21,136,10.187313,1
136,406,1.620391,1
409,591,0.932615,1
591,592,0.079357,1
592,593,0.064262,1
593,594,0.076343,1
594,595,4.59332,1
596,279,4.001607,0
61,597,3.594161,0
75,77,0.176644,1
597,27,60.55848,0
577,38,8.435611,1
38,575,12.324945,1
575,598,13.860677,1
555,599,0.037779,0
599,600,0.054757,0
600,601,16.766544,0
601,602,0.227937,0
602,13,14.080595,0
603,604,14.72729,0
604,131,0.934502,0
273,270,6.598024,0
274,605,4.195037,0
605,606,0.838433,0
606,607,1.133091,1
607,608,36.806497,0
609,610,9.739392,0
610,611,5.217832,0
611,612,14.07596,0
612,613,0.04243,0
613,474,22.103257,0
614,615,10.228233,0
616,617,54.77129,0
126,618,11.812954,0
619,119,10.766295,0
620,13,12.300284,0
621,622,27.59999,0
622,620,3.007726,0
620,623,12.17115,0
623,624,0.655817,0
624,460,9.605217,0
386,213,24.22551,0
625,625,0.364531,0
625,608,13.873992,0
626,627,0.666541,0
627,610,7.083481,0
611,628,8.186243,0
388,385,7.430622,0
629,460,7.591895,0
208,630,0.345474,0
630,631,1.188974,0
632,631,7.567149,0
633,634,2.854777,0
631,635,5.172695,0
636,637,29.185752,0
638,639,4.739933,0
639,272,2.365819,0
271,475,9.793215,0
108,640,28.510626,0
640,641,17.131144,0
642,643,3.656714,0
643,644,4.918818,0
104,612,43.124424,0
103,645,11.285165,0
646,647,5.236372,1
648,649,7.264565,0
79,650,10.289786,1
477,650,15.152503,1
477,84,3.679844,1
84,80,12.997571,1
81,402,2.384978,1
402,651,0.163835,1
651,652,12.503634,1
653,652,21.745322,1
654,655,18.323457,0
655,656,3.968733,0
656,657,1.362805,0
657,658,10.154187,0
658,659,8.507619,0
647,660,23.356071,1
59,661,40.183058,1
661,424,6.595254,1
662,663,3.676609,0
663,664,2.635519,0
664,426,4.380582,0
653,606,43.208624,1
102,104,11.56858,0
664,665,3.653353,0
666,667,5.83171,0
668,669,1.524828,0
669,670,0.234396,0
671,672,0.641363,0
673,674,2.044318,0
675,638,3.483246,0
643,676,2.256896,0
677,678,1.194386,0
656,679,1.37786,0
663,680,1.255449,0
681,682,1.804194,0
682,433,0.896806,0
508,527,0.263109,1
527,683,3.895403,1
683,684,24.633308,1
71,685,3.079076,1
89,686,27.489261,0
686,687,16.253659,0
687,688,32.267589,0
688,689,36.328942,0
689,690,0.903693,1
690,534,0.754024,1
499,691,6.800945,0
82,684,31.168407,0
96,692,17.310242,0
692,693,0.09975,0
693,694,20.96576,0
694,695,32.893167,0
696,697,8.956201,1
685,698,61.925254,1
698,504,16.463726,1
166,221,5.704856,1
220,222,3.828769,0
223,219,3.807785,0
278,356,10.075866,0
431,238,3.007271,0
239,430,3.018694,0
241,486,7.020918,0
486,482,5.104023,0
699,159,2.152719,0
700,243,1.470038,0
247,701,1.462084,0
446,232,5.146216,0
233,449,4.551586,0
447,449,0.502083,0
234,228,0.460525,0
229,235,0.477815,0
702,231,3.207906,0
162,290,3.064059,0
291,703,0.181888,0
703,702,2.87479,0
289,462,5.312913,0
704,288,5.302457,0
462,705,3.91611,0
494,704,3.903048,0
705,292,2.45154,0
293,494,2.483386,0
295,300,6.543301,0
301,294,6.558428,0
299,306,9.048446,0
302,298,9.049474,0
305,311,9.802203,0
310,304,9.829472,0
315,308,4.317342,0
323,314,4.629042,0
326,320,5.225146,0
332,327,8.831963,0
335,329,1.749245,0
80,706,17.39528,0
638,478,20.488457,0
707,348,5.655232,0
350,708,5.615713,0
395,252,3.875488,1
225,360,4.735978,1
169,359,8.38044,1
158,319,3.795924,0
596,351,3.595332,0
709,157,10.437893,0
158,313,2.147624,0
710,711,22.301637,0
139,712,21.038935,0
172,312,25.684039,0
307,158,5.107606,0
328,489,2.313895,0
489,713,5.95116,0
714,492,1.671285,0
492,715,4.905759,0
716,717,10.281871,0
717,718,14.985735,0
46,719,19.136966,0
470,65,5.461683,0
476,720,26.637126,0
721,720,1.955937,0
721,722,7.367612,0
67,723,28.388505,0
283,3,6.467288,0
3,724,5.095636,0
724,170,1.662998,0
725,726,1.447731,1
401,727,24.039239,1
727,728,0.162139,1
728,716,6.482126,1
716,144,8.45613,1
142,729,18.963918,0
729,145,0.906047,0
183,730,0.73867,0
730,731,13.630546,0
731,732,16.091983,0
379,733,8.724702,0
733,55,34.627108,0
734,735,2.931727,0
735,48,6.343371,0
49,736,3.695088,0
51,736,9.750401,0
472,737,10.254994,0
737,738,0.390869,0
738,721,1.999465,0
739,740,10.483087,0
741,435,15.889199,0
435,473,29.239907,0
737,64,7.259276,0
64,742,10.162061,0
726,743,1.002965,0
388,744,0.505044,0
745,473,1.273138,0
501,746,47.536887,1
747,748,0.701393,1
748,749,35.407064,1
749,750,0.493887,1
750,751,14.016982,1
751,752,26.368698,1
752,60,27.083592,1
753,754,5.143843,0
754,755,0.054825,0
755,182,20.642774,0
756,733,2.435232,0
733,757,12.511744,0
25,758,20.208736,0
758,338,18.844035,0
337,342,1.064121,0
344,339,1.070571,0
114,759,14.945921,0
759,760,12.551857,0
132,761,6.675565,1
761,762,10.897028,1
116,763,26.046254,0
763,764,7.816027,1
764,765,16.315904,1
765,766,0.252908,1
766,767,30.206985,1
767,768,8.219552,1
768,769,18.772543,1
769,269,33.458079,1
770,520,28.8937,0
618,119,13.009985,0
183,456,2.136425,0
771,772,1.428293,0
772,391,12.134986,0
757,773,0.737797,0
773,774,22.105693,0
774,383,0.287827,0
383,60,36.851442,0
27,340,42.520547,0
341,775,2.423758,0
775,776,26.817266,0
776,777,0.153223,0
777,764,34.988463,0
770,778,17.812759,0
779,780,30.725355,0
433,749,61.045325,0
781,759,31.167977,0
759,767,28.544062,0
767,782,1.022081,0
782,520,30.940908,0
520,783,0.12164,1
783,784,13.942314,1
784,785,41.650425,1
760,769,27.680243,0
786,212,5.29365,0
786,771,7.084933,0
391,787,10.563933,0
787,788,10.368189,0
116,779,35.155719,0
132,130,17.494717,0
129,789,0.492032,0
789,790,9.205712,0
790,791,13.743387,1
791,792,14.371277,1
792,763,0.743666,1
115,129,24.149665,0
790,793,3.99973,1
793,762,0.65724,1
762,794,15.340335,0
794,775,22.420522,0
795,343,0.300438,0
787,796,0.983144,0
796,130,25.428471,0
761,797,4.057379,0
768,798,3.108704,0
791,799,6.804136,0
791,800,3.198532,0
756,451,16.503515,0
684,801,32.241671,1
801,651,1.064374,1
608,802,13.145964,0
802,803,7.808776,0
534,93,16.888845,1
94,96,20.547864,0
407,804,22.723741,0
603,804,1.143732,0
603,805,0.218379,0
805,806,19.995703,0
807,131,25.049852,1
617,808,4.082312,0
125,809,1.462611,0
809,414,9.318623,0
415,810,1.156984,0
810,637,15.988684,0
637,811,0.280562,0
811,633,0.218088,0
633,393,8.602564,0
393,812,0.194173,0
812,126,12.295417,0
128,619,6.727325,0
619,813,15.144027,0
813,115,0.058434,0
814,815,0.125663,1
815,807,11.848383,1
807,816,1.915381,1
816,213,7.066875,1
416,636,18.480906,1
817,636,15.174185,1
587,818,8.673605,0
387,17,1.399001,0
387,629,33.517571,0
629,624,7.166528,0
819,820,34.934867,0
19,588,8.204018,0
460,821,0.2042,0
821,822,30.272566,0
215,822,4.603111,0
823,125,5.054091,0
809,824,6.968752,0
825,826,29.473709,0
56,827,4.469883,0
50,828,23.795413,0
829,830,4.461637,0
831,832,13.756206,0
832,833,10.792201,0
834,829,11.642196,0
830,835,12.643541,0
835,151,18.465956,0
836,837,24.816065,0
463,837,11.933011,0
838,839,4.090088,0
840,841,8.20961,0
58,56,22.782622,1
712,842,18.04258,0
55,843,35.068244,1
843,8,24.762558,1
8,844,1.624301,0
844,845,1.028757,0
845,846,4.908222,0
76,847,1.390088,0
847,848,33.052485,0
849,833,33.267879,0
828,850,1.474539,0
825,850,23.479491,0
825,833,19.638208,0
849,427,32.477436,0
851,852,0.743763,0
852,853,7.337089,0
845,854,0.992465,0
832,855,2.975436,0
218,421,2.897053,0
423,217,2.910131,0
420,363,1.430844,0
361,422,1.432638,0
362,9,1.829433,0
9,455,14.787174,0
455,856,8.365851,0
856,857,4.380404,0
857,858,6.682484,0
858,851,8.711419,0
851,829,14.283481,0
829,859,8.583442,0
859,860,0.213076,0
860,861,0.185072,0
861,862,4.758405,0
862,863,0.103369,0
864,865,0.035097,0
865,866,0.092292,0
866,867,15.942138,0
867,868,7.660073,0
868,869,0.151909,0
870,871,0.146397,0
871,872,6.910819,0
872,139,17.398005,0
140,545,32.123128,0
364,873,3.549586,0
873,874,0.152383,0
874,875,3.548692,0
496,365,7.227212,0
875,452,3.731147,0
452,496,3.737012,0
266,732,11.613366,1
876,58,4.898712,1
59,740,27.342844,1
740,877,2.714719,1
877,719,6.433036,1
719,734,9.389999,1
734,49,19.58311,1
50,65,3.476007,1
64,722,7.870167,1
722,878,12.615894,1
878,831,21.270276,1
831,710,32.606938,1
710,879,26.83168,1
879,646,1.976581,1
646,70,9.494973,1
70,880,57.098291,1
880,881,28.89459,1
882,78,10.923441,0
78,883,8.874735,1
883,649,4.222568,1
884,97,2.503038,1
98,885,11.032882,1
885,886,21.24324,1
886,626,5.683288,1
626,609,9.611112,1
609,887,10.944197,1
887,888,0.301948,1
888,102,5.282175,1
889,841,4.074205,0
841,857,7.211717,0
857,890,8.951614,0
840,858,5.147998,0
891,892,11.447299,0
892,893,0.045313,0
893,894,0.197125,0
894,895,0.167453,0
895,864,3.995394,0
896,897,0.070694,0
897,898,3.037065,0
842,899,2.628794,0
899,900,6.675019,0
900,869,11.800922,0
867,150,26.214308,0
901,140,31.905774,0
902,545,30.692915,0
545,725,25.385658,0
469,598,30.50298,0
598,725,1.011066,1
856,903,8.669214,0
904,880,53.546326,0
712,899,6.37916,0
842,905,3.64089,0
906,907,4.95549,0
841,856,8.849342,0
898,830,9.139693,0
872,727,32.749921,0
103,6,18.055249,1
6,908,3.286259,1
661,44,11.392684,0
46,43,12.509126,0
878,909,18.863568,0
67,909,7.167347,0
696,910,26.154843,0
910,911,11.736993,0
912,913,18.881741,0
913,69,0.247015,0
147,145,16.397823,0
140,914,22.742134,0
914,401,0.643644,1
400,718,41.256788,0
915,143,1.374891,0
166,419,9.697158,1
419,903,9.37786,1
903,890,5.327988,1
890,155,4.865935,1
156,853,6.765209,1
853,835,15.748676,1
835,147,13.702571,1
150,916,8.017728,1
916,144,0.884452,1
143,917,26.66994,1
917,137,30.050781,1
918,919,7.408199,0
529,920,9.713716,0
469,921,3.747787,0
137,921,24.883612,0
921,135,44.628854,0
181,183,2.147209,0
131,771,25.579279,0
375,543,24.182398,0
922,747,31.887949,0
755,923,19.277321,0
86,458,30.94799,0
458,92,0.980228,0
92,693,40.821561,0
806,794,23.266828,0
898,149,22.114395,0
836,152,40.446738,0
465,924,1.823662,0
924,925,76.373247,0
515,85,21.092431,0
28,758,22.594067,0
117,926,36.14134,0
580,588,7.216208,0
744,927,14.257209,0
461,4,1.75121,0
4,282,12.403958,0
167,432,14.637471,0
373,370,32.253222,0
543,154,23.083607,0
22,804,24.278601,0
393,928,43.971667,0
681,929,1.306094,0
806,28,1.174065,0
930,931,12.16622,0
930,932,5.956404,0
171,933,0.929541,0
736,54,8.518954,0
309,317,4.334945,0
318,322,4.61945,0
321,324,5.22643,0
325,331,8.959431,0
330,334,1.737341,0
333,714,13.273424,0
757,934,11.683907,0
934,935,10.533572,0
935,936,31.510946,0
936,937,13.660916,0
937,938,0.157331,0
938,846,3.824688,1
521,848,22.654196,0
848,531,4.197058,0
531,939,17.49687,1
939,940,28.792424,1
941,942,9.043604,0
942,883,5.399496,0
943,944,8.184914,0
944,99,0.644474,0
945,946,0.082069,0
99,946,1.161797,0
685,947,61.381473,0
947,948,0.207755,0
948,949,20.237219,0
950,951,19.088772,0
951,82,3.924853,0
952,953,0.401599,0
953,939,18.705727,0
925,954,15.905517,0
76,434,18.497173,1
434,521,13.612772,1
457,183,2.136238,0
828,955,1.610046,0
955,956,3.104996,0
956,957,31.816884,0
957,844,41.574669,0
844,7,1.854793,0
7,938,0.563759,1
940,958,55.3412,0
880,959,2.340202,1
959,949,10.375755,1
949,950,10.132457,1
950,683,27.788368,1
960,881,15.115383,0
97,961,26.44773,0
919,98,7.437442,0
886,944,16.056982,0
962,100,23.497455,0
752,963,44.422167,0
963,936,13.050004,0
947,964,3.723116,0
938,965,5.57854,0
935,966,1.040348,0
79,967,10.712409,0
714,666,14.814515,0
666,671,4.293961,0
671,673,7.436997,0
673,668,9.028079,0
668,644,2.669174,0
644,677,10.505649,0
677,424,0.998395,0
659,968,21.396826,1
426,659,26.621145,1
657,969,11.433429,0
658,969,5.894168,0
969,970,0.40677,0
971,275,3.810551,0
276,280,3.764684,0
282,277,3.736129,0
281,436,5.816169,0
436,286,6.257751,0
285,972,0.599436,0
972,753,1.366702,0
753,284,1.982375,0
846,63,9.408245,1
63,681,27.511724,0
349,354,3.54482,0
353,973,5.688005,0
973,195,1.097885,0
197,352,6.751608,0
355,974,8.513989,0
188,974,34.543787,0
974,975,34.163106,0
370,975,22.255468,0
57,976,21.90813,0
976,956,42.739259,0
956,977,4.22605,0
977,850,1.260146,0
62,73,50.852121,1
978,978,0.056416,0
978,839,7.281359,0
839,840,3.198313,0
858,155,10.095513,0
156,979,8.513061,0
146,836,3.480439,0
154,542,11.894663,0
980,466,16.925446,0
372,375,4.340284,0
152,12,24.106549,0
12,464,1.49786,0
795,954,78.387559,0
43,739,16.28457,0
877,955,56.967681,0
981,133,24.472886,0
982,553,17.166638,0
134,602,21.300981,0
622,602,20.577371,0
618,983,21.600843,0
15,586,64.526839,0
586,984,3.777625,0
984,578,0.795626,0
151,189,47.517573,0
55,976,29.527147,0
720,985,44.477592,0
986,617,41.552432,0
987,566,30.927987,0
622,930,13.333349,0
100,945,0.691802,0
988,502,35.984087,0
989,990,2.60855,0
990,991,2.586073,0
991,992,6.226905,0
993,550,7.873872,0
551,994,11.893194,0
994,995,0.242022,0
996,997,6.039252,0
997,993,0.626353,0
993,994,14.463046,0
998,997,1.49158,0
999,29,1.231896,0
1000,999,0.019352,0
29,30,0.379507,0
563,560,0.200414,0
564,561,0.098999,0
557,1001,0.076631,0
1002,1003,0.053451,0
1004,1005,0.034083,0
1005,1006,0.071984,0
1007,1006,0.044872,0
615,1007,0.078282,0
599,1008,0.037008,0
1009,1010,0.038977,0
1011,555,0.047473,0
1008,600,0.054178,0
1011,556,0.069892,0
1009,554,0.050152,0
554,1010,0.057787,0
1012,593,0.064818,1
1012,1013,0.082913,1
1013,592,0.042972,1
1012,594,0.091446,1
1013,591,0.070031,1
595,1014,0.096997,1
1014,814,0.065156,1
1014,815,0.135738,1
595,405,0.037191,1
405,814,0.065052,1
1015,558,0.072076,0
558,557,0.02131,0
1001,1015,0.032646,0
816,1016,27.909134,0
1016,404,0.059876,0
932,822,22.099361,0
932,123,37.357319,0
124,1017,3.894548,0
1018,1019,53.256173,0
1020,1021,0.091842,0
1020,1022,0.030038,0
1022,574,0.067953,0
1023,1021,0.034684,0
141,980,30.70863,0
871,868,0.32635,0
870,1024,0.040165,0
1025,869,0.045078,0
895,894,0.170448,0
1026,892,15.341423,0
1027,1028,0.064719,0
1028,862,0.101608,0
1028,863,0.066623,0
865,1027,0.052737,0
897,860,0.12358,0
859,896,0.363834,0
1029,772,1.706811,0
1030,786,2.301616,0
1031,572,62.295042,0
571,23,27.598519,0
788,128,22.774626,0
777,1032,9.307375,0
954,751,27.685599,0
161,160,2.218072,0
511,536,12.17125,0
605,607,1.094228,0
451,182,7.45041,0
647,427,45.505342,0
958,686,37.204863,0
951,882,34.409923,0
945,1033,12.833376,0
887,1034,22.904464,0
990,32,2.31806,0
