orig,dest,km,jur
991,1035,7.095233,0
726,400,27.039002,1
1036,730,0.120122,0
1036,178,26.808373,0
287,1037,12.724076,0
1038,476,10.998857,0
1039,1040,9.250174,0
1040,214,1.492251,0
87,1041,15.388012,0
1041,1042,1.228671,0
1043,1044,36.970947,0
516,1044,9.503369,0
623,931,0.868503,0
940,502,0.755856,1
689,1045,56.176898,1
530,1046,3.230027,0
1047,652,8.273619,0
649,884,18.694847,1
389,589,0.417248,0
495,483,0.783424,0
120,117,0.182317,0
770,766,1.495106,0
523,746,42.171974,0
202,707,5.803566,0
708,971,2.768675,0
193,479,4.865128,0
248,443,6.850253,0
5,1048,0.150801,0
1049,1050,0.223532,0
468,1051,0.043845,0
1052,1053,0.284822,0
1054,1055,0.294903,0
781,1056,0.253264,0
1055,625,0.205748,0
1048,5,0.150801,0
1050,105,0.135371,0
1051,468,0.043845,0
1056,781,0.253264,0
1053,533,0.197071,0
1057,1041,0.215462,0
1058,687,0.387207,0
1059,500,0.225556,0
1060,958,0.157464,0
1061,503,0.405464,0
1062,698,0.04529,0
1063,509,0.845481,0
1064,959,0.05112,0
1065,948,0.093556,0
1066,879,0.406402,0
1067,913,0.061043,0
1068,68,0.118255,0
1069,695,0.276626,0
1070,694,0.583502,0
1071,692,0.1688,0
1072,802,0.005685,0
1073,95,0.010367,0
1074,458,0.087922,0
1075,688,0.230852,0
1076,690,0.132427,0
1077,653,0.088125,0
1078,1079,0.052694,0
1080,86,0.206192,0
1081,528,0.259718,0
1082,535,0.286729,0
1083,1084,0.5102,0
1085,801,0.217407,0
1086,650,0.184043,0
1087,942,0.011319,0
1088,1089,0.534715,0
1090,1091,0.007821,0
1092,910,0.155877,0
1093,630,0.456359,0
1094,639,0.351679,0
1095,107,0.081775,0
1096,613,0.346388,0
1097,1098,0.283591,0
1099,627,0.006443,0
1100,946,0.053137,0
1101,101,0.119024,0
1102,640,0.004096,0
1103,478,0.256278,0
1104,885,0.191358,0
1105,1106,0.263535,0
1107,888,0.007268,0
1108,83,0.283048,0
1109,567,0.286067,0
1110,565,0.00768,0
1111,31,0.379323,0
1112,552,1.447014,0
1113,582,0.099936,0
1114,428,0.006354,0
1115,41,0.005371,0
1116,559,0.6992,0
1117,601,0.112691,0
1118,14,0.003161,0
1119,583,0.243547,0
1120,584,0.191553,0
1121,984,0.283662,0
1122,579,0.255671,0
1123,16,0.082515,0
1124,1125,0.170829,0
1126,914,0.11537,0
1127,900,0.091057,0
1128,893,0.145103,0
1129,1130,0.632239,0
1131,122,0.041679,0
1132,1040,0.050273,0
1133,811,0.234069,0
1134,812,0.101914,0
1135,392,0.017242,0
1136,796,0.006058,0
1137,931,0.114467,0
1138,821,0.003163,0
1139,810,0.263867,0
1140,384,0.004404,0
1141,744,0.00698,0
1142,818,0.200106,0
1143,390,0.134833,0
1144,604,0.074291,0
1145,805,0.006425,0
1146,590,0.132951,0
1147,917,0.260585,0
1148,915,0.113144,0
1149,717,0.043924,0
1150,728,0.13733,0
1151,1031,0.034235,0
1152,837,0.021841,0
1153,729,0.249753,0
1154,916,0.125869,0
1155,148,0.159307,0
1156,852,0.077939,0
1157,418,0.14028,0
1158,973,1.330769,0
1159,596,0.2681,0
1160,972,0.724313,0
1161,724,0.057363,0
1162,1163,0.130436,0
1164,703,0.00725,0
1165,120,0.008561,0
1166,926,0.190644,0
1167,792,0.299423,0
1168,813,0.003564,0
1169,127,0.068483,0
1170,789,0.089679,0
1171,793,0.179685,0
1172,1173,0.695527,0
1174,776,0.135642,0
1175,795,0.011507,0
1176,924,0.071397,0
1177,153,0.172924,0
1178,541,0.594632,0
1179,597,1.161993,0
1180,774,0.033553,0
1181,773,0.007167,0
1182,380,0.002592,0
1183,376,0.000712,0
1184,371,0.005349,0
1185,379,0.131427,0
1186,756,0.003167,0
1187,827,0.071593,0
1188,731,0.167081,0
1189,373,0.063052,0
1190,1036,0.117445,0
1191,975,0.010748,0
1192,754,0.00294,0
1193,173,0.112113,0
1194,536,0.00566,0
1195,512,0.076787,0
1196,490,0.119342,0
1197,669,0.004584,0
1198,425,1.096324,0
1199,784,0.003148,0
1200,783,0.031733,0
1201,782,0.125807,0
1202,519,0.676418,0
1203,765,0.036897,0
1204,760,0.011372,0
1205,114,0.079922,0
1206,925,0.003075,0
1207,750,0.187983,0
1208,934,0.214163,0
1209,843,0.381989,0
1210,957,0.215252,0
1211,739,0.217979,0
1212,735,1.268459,0
1213,45,0.624698,0
1214,44,1.659518,0
1215,655,0.019258,0
1216,111,0.497376,0
1217,524,0.198451,0
1218,748,0.414232,0
1219,522,0.141967,0
1220,62,0.013745,0
1221,682,0.01679,0
1222,977,0.115762,0
1223,1224,0.147774,0
1225,738,0.014495,0
1226,52,0.294038,0
1227,1228,0.437589,0
1229,518,0.290409,0
1230,1044,0.01545,0
1231,532,0.020098,0
1232,953,0.280065,0
1233,72,0.181924,0
1234,77,0.909455,0
1235,847,0.00634,0
1236,849,0.615366,0
1237,1238,1.081346,0
1239,1240,0.333053,0
1241,66,0.393543,0
1242,909,0.290715,0
1243,963,0.07248,0
1244,937,0.226076,0
1245,1246,1.380962,0
1247,570,0.004849,0
1248,876,0.408129,0
1249,788,0.006065,0
2,873,0.135619,0
1004,621,0.050162,0
819,121,0.063279,0
907,905,0.011281,0
808,121,0.096422,0
1003,621,0.066986,0
1019,1110,2.999984,0
1079,513,0.019657,0
1084,706,0.02009,0
1089,941,0.013046,0
1091,960,0.006419,0
696,1069,0.532056,0
1098,628,0.012595,0
1106,961,0.240456,0
1000,563,2.751215,0
1125,743,0.010564,0
1130,1026,0.310377,0
1162,484,0.262963,0
1173,800,0.015036,0
1224,742,0.010808,0
1228,745,0.012256,0
1238,855,0.01037,0
1240,723,0.088099,0
1246,700,0.012468,0
732,876,0.023361,1
660,685,28.046377,1
458,459,0.608627,1
