lon,lat,ibge,v
-4.17788,-38.492245,-1,39070
-4.147833,-38.478039,-1,48209
-4.197168,-38.470495,-1,39249
-4.212284,-38.699356,-1,39267
-4.208346,-38.697948,-1,296033
-4.224434,-38.710306,-1,39407
-3.876403,-38.595127,-1,39874
-3.982094,-38.611951,-1,48688
-3.850179,-38.645369,-1,39875
-3.82776,-38.624199,-1,40068
-4.032874,-38.992963,-1,40069
-4.008297,-38.971759,-1,40249
-3.827339,-38.624562,-1,41048
-3.827743,-38.624141,-1,41049
-3.843695,-38.585598,-1,41318
-3.811949,-38.574766,-1,41321
-3.843314,-38.584887,-1,48594
-3.897606,-38.672556,-1,41325
-3.909698,-38.682678,-1,41469
-3.897812,-38.672139,-1,41470
-3.909972,-38.682599,-1,41576
-3.736497,-38.569215,-1,41580
-3.738669,-38.5853,-1,47815
-3.778821,-38.514606,-1,37549
-3.738844,-38.5853,-1,41705
-7.30918,-39.307208,-1,41823
-7.226272,-39.326308,-1,42562
-7.225674,-39.327852,-1,42563
-7.228559,-39.38678,-1,43049
-7.227007,-39.388444,-1,43050
-7.236819,-39.407288,-1,43224
-7.335282,-39.394031,-1,44110
-3.714637,-40.987853,-1,44939
-3.733179,-41.002182,-1,45098
-3.7543,-40.583416,-1,45250
-3.755977,-40.555565,-1,190966
-3.759041,-40.804433,-1,46257
-3.659854,-40.918669,-1,46959
-3.714299,-40.987393,-1,47754
-3.743793,-38.620445,-1,47755
-3.743217,-38.620144,-1,47766
-3.743377,-38.619383,-1,47767
-3.744129,-38.619414,-1,47780
-3.744322,-38.61978,-1,47787
-3.738859,-38.585429,-1,47832
-3.738694,-38.585473,-1,47842
-3.830909,-38.504765,-1,47852
-3.831146,-38.504701,-1,37392
-3.831197,-38.504952,-1,37393
-3.830982,-38.505003,-1,47880
-3.812453,-38.479427,-1,47890
-3.812591,-38.479253,-1,47898
-3.812647,-38.479615,-1,47903
-3.812821,-38.479425,-1,47911
-3.808205,-38.479025,-1,47929
-3.808163,-38.478822,-1,47938
-3.808459,-38.47896,-1,47939
-3.808431,-38.47879,-1,47950
-3.808375,-38.478749,-1,47957
-3.808266,-38.47874,-1,47960
-3.81153,-38.424238,-1,47968
-3.811402,-38.424187,-1,47973
-3.811513,-38.423864,-1,47974
-3.811716,-38.424031,-1,47983
-3.759343,-38.483307,-1,48006
-3.759281,-38.483214,-1,48009
-3.759537,-38.483373,-1,48010
-3.7597,-38.48296,-1,48015
-3.759715,-38.483272,-1,48023
-3.759317,-38.482971,-1,48024
-3.778881,-38.514851,-1,37249
-3.779428,-38.515034,-1,48046
-3.779535,-38.51497,-1,48058
-3.779695,-38.514685,-1,48061
-3.77963,-38.514393,-1,48067
-4.085185,-38.499018,-1,48093
-4.085052,-38.499234,-1,48098
